i,local_result
889,31130
890,37845
891,40365
892,38485.5
893,38643
894,30542.5
895,30765.5
896,39553.5
897,39819.5
898,23434.5
899,23606.5
900,42927
901,43207
902,43488
903,41435.5
904,43075.5
905,9816
906,44613
907,24369.5
908,24529.5
909,12802
910,45513
911,10238
912,10255
913,10384
914,46220
915,46485
916,43781.5
917,45869.5
918,45443.5
919,45714.5
920,48586
921,46248.5
922,23091
923,46588.5
924,49793.5
925,47313.5
926,47588.5
927,47853.5
928,48126.5
929,48396.5
930,50657
931,48934.5
932,49204.5
933,49469.5
934,49740.5
935,50008.5
936,42915.5
937,43151.5
938,28756.5
939,53410
940,51343.5
941,51610.5
942,30754.5
943,52143.5
944,52414.5
945,52680.5
946,3600
947,15488
948,56377
949,53752.5
950,31685.5
951,54286.5
952,54551.5
953,57285.5
954,55086.5
955,55354.5
956,52202.5
957,55894.5
958,57955.5
959,58234.5
960,50433.5
961,56965.5
962,60074
963,53514.5
964,60631
965,13722
966,58311.5
967,60908
968,62069
969,62671.5
970,63157.5
971,62504.5
972,62309.5
973,56341.5
974,17803
975,17818
976,61682.5
977,64905
978,64463.5
979,40824.5
980,55894
981,7320.5
982,59864
983,64056.5
984,67969
985,66963.5
986,36083.5
987,69480
988,34885.5
989,68396.5
990,48382
991,18009
992,42196.5
993,42241.5
994,72142
995,61187
996,61478
997,18073
998,42651.5
999,71962.5
1000,69779.5
1001,391
1002,782
1003,1002
1004,1573
1005,1826
1006,87.5
1007,2787.5
1008,3185.5
1009,115.5
1010,3919
1011,3999
1012,2325
1013,3151.5
1014,2690.5
1015,5894
1016,6288
1017,5714
1018,7086
1019,7406
1020,6686
1021,5267.5
1022,7734
1023,5793.5
1024,8029
1025,6329.5
1026,8400.5
1027,8718.5
1028,10312
1029,6657
1030,9680.5
1031,7115
1032,7332
1033,12967
1034,465.5
1035,12507.5
1036,12863.5
1037,14742
1038,13635
1039,9556.5
1040,12511
1041,11014
1042,567.5
1043,12921
1044,17526
1045,17925
1046,18323
1047,8789.5
1048,668.5
1049,18817
1050,19671
1051,19502
1052,9921
1053,12163
1054,12386
1055,12534
1056,10292
1057,8703.5
1058,762.5
1059,10490.5
1060,19232
1061,12566.5
1062,24641
1063,17006
1064,11840.5
1065,846.5
1066,22506
1067,20205
1068,22757
1069,23096
1070,23426
1071,13671.5
1072,23345
1073,23670
1074,24000
1075,14078
1076,15030.5
1077,25745
1078,25240.5
1079,24864
1080,5516.5
1081,23066.5
1082,5640.5
1083,26877.5
1084,20517.5
1085,6232.5
1086,2825.5
1087,29019.5
1088,24340
1089,24639
1090,29169.5
1091,29574
1092,29458
1093,28250
1094,30475.5
1095,28877
1096,34396
1097,29507
1098,38751.5
1099,19881.5
1100,30424
1101,32760.5
1102,24352
1103,40689.5
1104,41201
1105,32002
1106,41848
1107,42169
1108,40738
1109,22245.5
1110,43040
1111,43793
1112,44182
1113,44568
1114,44957
1115,45346
1116,45734
1117,44764
1118,46645
1119,46826
1120,47212
1121,44709
1122,40205
1123,44710
1124,22903
1125,47805
1126,46680.5
1127,41842
1128,31499
1129,15195.5
1130,41961
1131,45084.5
1132,32615
1133,6572.5
1134,6740.5
1135,37989.5
1136,50563
1137,29388.5
1138,29646.5
1139,50890
1140,31751.5
1141,35091
1142,35303
1143,35527
1144,30940.5
1145,31154.5
1146,31405.5
1147,31623.5
1148,31712.5
1149,31979.5
1150,32245.5
1151,32516.5
1152,32797.5
1153,46583
1154,19024
1155,33525.5
1156,40534
1157,34069.5
1158,34321.5
1159,41391
1160,45429
1161,19108.5
1162,19171.5
1163,40920
1164,41206
1165,54036
1166,53676
1167,54693
1168,20224.5
1169,64560
1170,48369
1171,48673
1172,64328
1173,37877.5
1174,44004
1175,64962.5
1176,50296
1177,64057
1178,64505
1179,19910
1180,59373
1181,58583.5
1182,56415
1183,56772
1184,63241
1185,73045
1186,70483
1187,65453
1188,74814.5
1189,65039
1190,64242
1191,76061.5
1192,70200
1193,74977
1194,43796
1195,43871.5
1196,78130.5
1197,62205
1198,73277
1199,72907
1200,73301
1201,40111
1202,80081
1203,78642
1204,54369
1205,82041
1206,82457
1207,75977
1208,76363
1209,76750
1210,77133
1211,77527
1212,54844
1213,83704.5
1214,67853
1215,84514.5
1216,62672
1217,24185
1218,78124
1219,78491
1220,58961
1221,61320.5
1222,57634
1223,60691.5
1224,86415
1225,86825
1226,90564
1227,90980
1228,13702.5
1229,84486
1230,92225
1231,26017
1232,88874
1233,13889.5
1234,91831
1235,67237
1236,61557
1237,79779
1238,80129
1239,74473
1240,78765.5
1241,81181
1242,79454.5
1243,92530.5
1244,61380.5
1245,93327.5
1246,98364
1247,87380
1248,66053.5
1249,56662.5
1250,66642.5
1251,414.5
1252,329.5
1253,676.5
1254,1161.5
1255,1150.5
1256,307.5
1257,353.5
1258,1817
1259,2800.5
1260,461.5
1261,563.5
1262,4541
1263,4793.5
1264,5465
1265,5864
1266,6385.5
1267,3343
1268,2404.5
1269,6410.5
1270,6326.5
1271,4325.5
1272,8571
1273,8496
1274,9124
1275,1745.5
1276,10183
1277,9997.5
1278,7136.5
1279,10467.5
1280,7652.5
1281,12642
1282,2053.5
1283,13511
1284,13766.5
1285,13551
1286,12084.5
1287,12019.5
1288,6743
1289,15940
1290,9900
1291,4315.5
1292,6319
1293,7107.5
1294,14445.5
1295,14752.5
1296,18153
1297,11547.5
1298,11198.5
1299,2937
1300,6845
1301,4826.5
1302,13618
1303,13883
1304,21655
1305,2926.5
1306,14594
1307,18978.5
1308,16436
1309,21833.5
1310,20300
1311,14566.5
1312,7976
1313,3418.5
1314,6786.5
1315,6997.5
1316,16761.5
1317,25688
1318,25532.5
1319,21669
1320,9183
1321,13545.5
1322,18374.5
1323,4977.5
1324,12654
1325,12958
1326,31505
1327,23606.5
1328,24723.5
1329,5965.5
1330,9027.5
1331,19554.5
1332,6407.5
1333,33917
1334,35081
1335,31523
1336,33345
1337,26011
1338,23288.5
1339,38705
1340,15456.5
1341,11740
1342,35862.5
1343,24694.5
1344,43071
1345,7825.5
1346,7988.5
1347,39853
1348,39570
1349,43099
1350,43540
1351,38280.5
1352,37698.5
1353,12947
1354,35934
1355,22258.5
1356,34067.5
1357,42572
1358,45149
1359,44972
1360,45359
1361,45750
1362,42501.5
1363,39624.5
1364,39963.5
1365,40299.5
1366,43971.5
1367,31204.5
1368,48469
1369,49223.5
1370,32019.5
1371,48263
1372,48077
1373,10339.5
1374,33191.5
1375,20750
1376,42784
1377,21034
1378,52342
1379,49980.5
1380,53122
1381,49655
1382,54611
1383,45748.5
1384,55412
1385,55800
1386,52571.5
1387,43912.5
1388,53314.5
1389,55107
1390,55487
1391,45208.5
1392,20387.5
1393,59392
1394,59800
1395,54764
1396,52465
1397,55090.5
1398,55455.5
1399,60413
1400,60803
1401,59695
1402,38398
1403,38681
1404,53060
1405,53398
1406,47764
1407,12597.5
1408,27417
1409,65285
1410,65670
1411,28027
1412,59683
1413,56925
1414,70293
1415,13136.5
1416,8505
1417,46038
1418,34310
1419,34555
1420,31433.5
1421,66717
1422,35266
1423,19142.5
1424,60682.5
1425,13840.5
1426,49791.5
1427,14030.5
1428,14124.5
1429,29881
1430,1041.5
1431,14315.5
1432,57088
1433,14479.5
1434,72408
1435,64749.5
1436,75865
1437,62220
1438,62523
1439,70404.5
1440,72468.5
1441,36675.5
1442,73124.5
1443,15229.5
1444,73787.5
1445,75976
1446,15419.5
1447,37836.5
1448,15569.5
1449,79130
1450,78288
1451,76103.5
1452,73629.5
1453,15963.5
1454,16051.5
1455,16163.5
1456,62966
1457,30356
1458,46383
1459,80675
1460,81007
1461,79409.5
1462,35047
1463,58931
1464,59169
1465,14010
1466,86081
1467,63817
1468,86768
1469,16989.5
1470,87451
1471,84708
1472,50807.5
1473,58558.5
1474,51278.5
1475,51530.5
1476,77558.5
1477,89842
1478,88834
1479,87394
1480,87731
1481,89860
1482,84696
1483,90536
1484,90876
1485,91213
1486,45686.5
1487,18170.5
1488,54347.5
1489,54566.5
1490,18355.5
1491,89314.5
1492,70842
1493,76602.5
1494,76899.5
1495,64296.5
1496,18614.5
1497,91302.5
1498,15504
1499,85560
1500,78704.5
1501,341
1502,680
1503,1023
1504,963
1505,1479
1506,2011
1507,1911.5
1508,2680
1509,875
1510,2975
1511,3692
1512,2245
1513,4195
1514,702.5
1515,4841
1516,5373
1517,5818
1518,5803
1519,5657
1520,6855.5
1521,4394
1522,7545.5
1523,1001.5
1524,1047.5
1525,8235
1526,4147
1527,9272.5
1528,9225
1529,1200.5
1530,10303.5
1531,1291.5
1532,7118.5
1533,9838.5
1534,5407
1535,1370.5
1536,1488.5
1537,8155.5
1538,1555.5
1539,8673.5
1540,1638.5
1541,9130.5
1542,9389.5
1543,9595.5
1544,15111.5
1545,14544
1546,10334.5
1547,13528
1548,15078.5
1549,15391.5
1550,1997.5
1551,11196
1552,15555.5
1553,9460
1554,18540.5
1555,2312.5
1556,13267.5
1557,4177
1558,17371.5
1559,17369
1560,10730
1561,18069
1562,16295.5
1563,11332
1564,11434
1565,11592
1566,11807
1567,1276.5
